handle,title,in_menu,template,rule_stock_gt_0,total,in_stock,sold_out,pct_sold_out,sold_out_on_page1,sold_out_all_at_end,url
lustre-led-bucatarie,Lustre LED Bucatarie,0,default,0,410,219,191,47,0,0,https://www.alessandrodesign.ro/collections/lustre-led-bucatarie
lustre-cu-bec,Lustre,0,default,0,1055,570,485,46,0,0,https://www.alessandrodesign.ro/collections/lustre-cu-bec
lustre-led-living,Lustre LED Living,0,default,0,452,244,208,46,0,0,https://www.alessandrodesign.ro/collections/lustre-led-living
lustre-dormitor-1,Lustre Dormitor,0,default,0,946,517,429,45,0,0,https://www.alessandrodesign.ro/collections/lustre-dormitor-1
sub-25,sub 25,0,default,0,223,123,100,45,0,0,https://www.alessandrodesign.ro/collections/sub-25
aplice,Aplice,0,default,0,260,145,115,44,0,0,https://www.alessandrodesign.ro/collections/aplice
iluminat-de-exterior,Iluminat de Exterior,0,default,0,105,59,46,44,0,1,https://www.alessandrodesign.ro/collections/iluminat-de-exterior
lustre-led-cu-telecomanda,Lustre LED cu Telecomanda,0,default,0,375,215,160,43,0,0,https://www.alessandrodesign.ro/collections/lustre-led-cu-telecomanda
corpuri-de-iluminat,Corpuri de Iluminat,0,default,0,2065,1202,863,42,0,0,https://www.alessandrodesign.ro/collections/corpuri-de-iluminat
all-products,Toate produsele,0,default,0,3293,1955,1338,41,0,0,https://www.alessandrodesign.ro/collections/all-products
all-stock-1,All Stock,0,default,0,1511,928,583,39,0,0,https://www.alessandrodesign.ro/collections/all-stock-1
candelabre-living,Candelabre Living,0,default,0,446,285,161,36,0,0,https://www.alessandrodesign.ro/collections/candelabre-living
aplice-de-perete,Aplice de perete LED,0,default,0,89,57,32,36,0,1,https://www.alessandrodesign.ro/collections/aplice-de-perete
candelabre,Candelabre,0,default,0,653,423,230,35,0,0,https://www.alessandrodesign.ro/collections/candelabre
promo-lustre-led,B25: Iluminat,0,bf_lustre-2,0,164,106,58,35,0,0,https://www.alessandrodesign.ro/collections/promo-lustre-led
candelabre-casa-scarii,Candelabre Casa Scarii,0,default,0,94,61,33,35,1,0,https://www.alessandrodesign.ro/collections/candelabre-casa-scarii
veioze-lampadare,Veioze & Lampadare,0,default,0,53,35,18,34,1,1,https://www.alessandrodesign.ro/collections/veioze-lampadare
candelabre-elegante,Candelabre Elegante,0,default,0,323,216,107,33,0,0,https://www.alessandrodesign.ro/collections/candelabre-elegante
vanatoarea-de-reduceri,Vanatoarea de reduceri,0,campaign-lp,0,119,80,39,33,0,1,https://www.alessandrodesign.ro/collections/vanatoarea-de-reduceri
benzi-led-12v,Benzi LED 12V,0,default,0,12,8,4,33,4,1,https://www.alessandrodesign.ro/collections/benzi-led-12v
lustre-pene,Lustre Pene,0,default,0,6,4,2,33,2,1,https://www.alessandrodesign.ro/collections/lustre-pene
promo-oglinzi-led,Promo Oglinzi LED,0,bf_oglinzi_2,0,50,37,13,26,0,1,https://www.alessandrodesign.ro/collections/promo-oglinzi-led
oglinzi-led,Oglinzi LED,0,colectie-oglinzi-led-baie,0,333,249,84,25,0,0,https://www.alessandrodesign.ro/collections/oglinzi-led
plante-artificiale,Plante Artificiale,0,default,0,181,140,41,23,0,1,https://www.alessandrodesign.ro/collections/plante-artificiale
aplice-moderne,Aplice Moderne,0,default,0,9,7,2,22,2,1,https://www.alessandrodesign.ro/collections/aplice-moderne
becuri-led-g9,Becuri LED G9,0,default,0,9,7,2,22,2,1,https://www.alessandrodesign.ro/collections/becuri-led-g9
becuri-e14,Becuri Candelabre E14,0,default,0,5,4,1,20,1,1,https://www.alessandrodesign.ro/collections/becuri-e14
black-season-candelabre,Black Season Candelabre,0,default,0,28,23,5,18,5,1,https://www.alessandrodesign.ro/collections/black-season-candelabre
aplice-decorative,Aplice Decorative,0,default,0,48,40,8,17,0,1,https://www.alessandrodesign.ro/collections/aplice-decorative
bf25-mobiliere-si-dulapuri-de-baie,BF25: Mobiliere si dulapuri de baie,0,bf_mobilier_2,0,50,42,8,16,0,1,https://www.alessandrodesign.ro/collections/bf25-mobiliere-si-dulapuri-de-baie
back2school,Back2School Sale,0,back2school,0,40,34,6,15,2,1,https://www.alessandrodesign.ro/collections/back2school
outlet,Outlet,0,bf_outlet_3,1,8,7,1,13,1,0,https://www.alessandrodesign.ro/collections/outlet
rucsac-scoala,Rucsac Scoala,0,default,0,8,7,1,13,1,1,https://www.alessandrodesign.ro/collections/rucsac-scoala
genți-de-voiaj,Genți de voiaj,0,default,0,33,29,4,12,4,1,https://www.alessandrodesign.ro/collections/genți-de-voiaj
becuri-led,Becuri LED E27,0,default,0,9,8,1,11,1,1,https://www.alessandrodesign.ro/collections/becuri-led
rucsacuri,Rucsacuri,0,default,0,46,43,3,7,0,1,https://www.alessandrodesign.ro/collections/rucsacuri
baie,Baie,0,default,1,157,157,0,0,0,1,https://www.alessandrodesign.ro/collections/baie
baterii-baie-bucatarie,Baterii baie & bucatarie,0,default,1,98,98,0,0,0,1,https://www.alessandrodesign.ro/collections/baterii-baie-bucatarie
accesorii-baie,Accesorii Baie,0,default,1,39,39,0,0,0,1,https://www.alessandrodesign.ro/collections/accesorii-baie
produse-led,Produse LED,0,default,1,46,46,0,0,0,1,https://www.alessandrodesign.ro/collections/produse-led
pendule,Pendule,0,default,0,0,0,0,0,0,1,https://www.alessandrodesign.ro/collections/pendule
intrerupatoare,Intrerupatoare,0,default,1,2,2,0,0,0,1,https://www.alessandrodesign.ro/collections/intrerupatoare
suport-hartie-igienica,Suport Hartie Igienica,0,default,1,2,2,0,0,0,1,https://www.alessandrodesign.ro/collections/suport-hartie-igienica
suport-prosop,Suport Prosop,0,default,1,2,2,0,0,0,1,https://www.alessandrodesign.ro/collections/suport-prosop
benzi-led-220v,Benzi LED 220V,0,default,0,0,0,0,0,0,1,https://www.alessandrodesign.ro/collections/benzi-led-220v
lichidare-stoc-baterii-sanitare,Lichidare - Baterii sanitare,0,default,1,39,39,0,0,0,1,https://www.alessandrodesign.ro/collections/lichidare-stoc-baterii-sanitare
oglinzi-led-sub-300,Oglinzi LED sub 300,0,default,1,46,46,0,0,0,1,https://www.alessandrodesign.ro/collections/oglinzi-led-sub-300
resigilate,Resigilate,0,default,1,0,0,0,0,0,1,https://www.alessandrodesign.ro/collections/resigilate
becuri-led-gu10,Becuri LED GU10,0,default,0,1,1,0,0,0,1,https://www.alessandrodesign.ro/collections/becuri-led-gu10
lampadare-led,Lampadare LED,0,default,0,3,3,0,0,0,1,https://www.alessandrodesign.ro/collections/lampadare-led
baterii-freestanding,Baterii Freestanding,0,default,1,3,3,0,0,0,1,https://www.alessandrodesign.ro/collections/baterii-freestanding
produse-pret-0-test,PRODUSE PRET 0 -TEST-,0,default,1,0,0,0,0,0,1,https://www.alessandrodesign.ro/collections/produse-pret-0-test
produse-exclusive,Produse Exclusive,0,default,1,334,334,0,0,0,1,https://www.alessandrodesign.ro/collections/produse-exclusive
mandatory-fees,Mandatory Fees,0,default,0,0,0,0,0,0,1,https://www.alessandrodesign.ro/collections/mandatory-fees
accesorii-baterii,Accesorii Baterii,0,default,0,6,6,0,0,0,1,https://www.alessandrodesign.ro/collections/accesorii-baterii
v-l-florale-copie-1,V&L Geometric,0,default,0,2,2,0,0,0,1,https://www.alessandrodesign.ro/collections/v-l-florale-copie-1
bideuri-vase-wc,Bideuri & Vase WC,0,default,0,7,7,0,0,0,1,https://www.alessandrodesign.ro/collections/bideuri-vase-wc
genți-business,Genți business,0,default,0,1,1,0,0,0,1,https://www.alessandrodesign.ro/collections/genți-business
