url,varianta,format_audit,kb_audit,status_acum,format_crawler_acum,kb_crawler_acum,format_browser,kb_browser,dimensiune_px_servita,peste_200kb_in_browser
https://www.alessandrodesign.ro/cdn/shop/files/a1_0ec8585a-cb57-42e7-b11d-c7c7dd96d3f0.png?v=1741678757&width=1946,width=1946,image/png,2224,200,image/png,2296,image/webp,31,1500x1500,nu
https://www.alessandrodesign.ro/cdn/shop/files/WPSPhotos_1.png?v=1741680023&width=1946,width=1946,image/png,2127,200,image/png,2130,image/webp,146,1946x1946,nu
https://www.alessandrodesign.ro/cdn/shop/files/a2_5f5fe145-9068-4f4d-adb6-4f07f57c3879.png?v=1741678764&width=1445,width=1445,image/png,2112,200,image/png,2191,image/webp,31,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/2f87295b-4943-4d2c-89da-42d91a97096f.png?v=1742220371&width=1445,width=1445,image/png,2105,200,image/png,2212,image/webp,71,1304x1516,nu
https://www.alessandrodesign.ro/cdn/shop/files/2f87295b-4943-4d2c-89da-42d91a97096f.png?v=1742220371&width=1946,width=1946,image/png,2105,200,image/png,2212,image/webp,71,1304x1516,nu
https://www.alessandrodesign.ro/cdn/shop/files/a1_0ec8585a-cb57-42e7-b11d-c7c7dd96d3f0.png?v=1741678757&width=1445,width=1445,image/png,2100,200,image/png,2189,image/webp,31,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/a3_661b4482-991b-4e73-8d56-bd8f226a5103.png?v=1742218686&width=1445,width=1445,image/png,2093,200,image/png,2171,image/webp,26,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/a2_4cf3faf1-b3e5-4688-8135-d5aecc4b8a83.png?v=1741868410&width=1946,width=1946,image/png,2068,404,text/html; charset=utf-8,0,text/html; charset=utf-8,0,,nu
https://www.alessandrodesign.ro/cdn/shop/files/f1ffa963-61d0-4ae8-9732-43907fc0db3c.png?v=1741681420&width=1445,width=1445,image/png,2039,200,image/png,2147,image/webp,141,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/WPSPhotos_1_3be71866-3b80-45cb-905f-6f3cb2dffd5e.png?v=1741680722&width=1445,width=1445,image/png,2007,200,image/png,2131,image/webp,75,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/WPSPhotos_1_223d43f7-6d63-4577-afff-f1a157e548d1.png?v=1741680681&width=1445,width=1445,image/png,2007,200,image/png,2131,image/webp,75,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/WPSPhotos_1_90579005-d223-41b9-ba05-ccfd54e02ad0.png?v=1741680746&width=1445,width=1445,image/png,2007,200,image/png,2131,image/webp,75,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/ff7a3ab3-5d10-4c78-80ad-47e3ce50828c.png?v=1742916003&width=1445,width=1445,image/png,1908,200,image/png,2046,image/webp,52,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/a1_517b0e5f-5d13-4631-9fd9-bbd37021f681.png?v=1742393065&width=1500,width=1500,image/png,1804,200,image/png,1922,image/webp,59,1500x1500,nu
https://www.alessandrodesign.ro/cdn/shop/files/f1ffa963-61d0-4ae8-9732-43907fc0db3c.png?v=1741681420&width=1946,width=1946,image/png,1751,200,image/png,1835,image/webp,152,1500x1500,nu
https://www.alessandrodesign.ro/cdn/shop/files/a3_8a38064d-b619-43fd-8680-0d0bfd72bab3.png?v=1741868410&width=1946,width=1946,image/png,1717,404,text/html; charset=utf-8,0,text/html; charset=utf-8,0,,nu
https://www.alessandrodesign.ro/cdn/shop/files/WPS_Photos_1_575d305c-8086-417b-b848-0c54f7743b5f.png?v=1741679772&width=1445,width=1445,image/png,1697,200,image/png,1801,image/webp,42,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/a1_517b0e5f-5d13-4631-9fd9-bbd37021f681.png?v=1742393065&width=1445,width=1445,image/png,1690,200,image/png,1800,image/webp,57,1445x1445,nu
https://www.alessandrodesign.ro/cdn/shop/files/WPSPhotos_1_3be71866-3b80-45cb-905f-6f3cb2dffd5e.png?v=1741680722&width=1946,width=1946,image/png,1690,200,image/png,1800,image/webp,77,1500x1500,nu
https://www.alessandrodesign.ro/cdn/shop/files/WPSPhotos_1_223d43f7-6d63-4577-afff-f1a157e548d1.png?v=1741680681&width=1946,width=1946,image/png,1690,200,image/png,1800,image/webp,77,1500x1500,nu
https://www.alessandrodesign.ro/cdn/shop/files/WPSPhotos_1_90579005-d223-41b9-ba05-ccfd54e02ad0.png?v=1741680746&width=1946,width=1946,image/png,1690,200,image/png,1800,image/webp,77,1500x1500,nu
https://www.alessandrodesign.ro/cdn/shop/files/a2_b27f1dde-e33d-494b-939c-bf3a145d8ac5.png?v=1742198858&width=1445,width=1445,image/png,1662,200,image/png,1755,image/webp,65,1445x1445,nu
